,SampleA,SampleB
mmu-let-7a-1-5p,2493.14,775.07
mmu-let-7a-2-5p,2513.42,775.07
mmu-let-7b-5p,5018.73,2709.37
mmu-let-7c-1-5p,3035.57,930.08
mmu-let-7c-2-5p,3167.38,1010.96
mmu-let-7d-3p,405.55,0.00
mmu-let-7d-5p,8159.24,3034.14
mmu-let-7f-1-5p,1683.05,608.70
mmu-let-7f-2-5p,1840.20,649.14
mmu-let-7g-5p,2281.24,717.78
mmu-let-7i-5p,12399.81,6035.43
mmu-mir-103-1-3p,3825.72,2645.34
mmu-mir-103-2-3p,3846.00,2645.34
mmu-mir-106b-3p,2727.35,508.85
mmu-mir-106b-3p_-_2,283.89,0.00
mmu-mir-107-3p,1067.96,694.19
mmu-mir-10b-5p,689.44,0.00
mmu-mir-122-5p,385.28,0.00
mmu-mir-128-1-3p,5566.23,3214.85
mmu-mir-128-2-3p,3741.23,2183.67
mmu-mir-130b-3p,0.00,222.41
mmu-mir-130b-5p,283.89,0.00
mmu-mir-140-3p,7766.36,8350.53
mmu-mir-140-3p_+_1,20896.16,31147.67
mmu-mir-140-3p_+_2,669.16,889.64
mmu-mir-142-5p,0.00,242.63
mmu-mir-142-5p_-_1,567.78,444.82
mmu-mir-142-5p_-_2,5576.37,8451.62
mmu-mir-146a-5p,506.94,0.00
mmu-mir-146b-5p,540.74,0.00
mmu-mir-148a-3p,3832.48,6328.61
mmu-mir-148b-3p,1987.21,343.73
mmu-mir-150-5p,1906.10,586.36
mmu-mir-151-3p,1240.99,1071.62
mmu-mir-151-5p,547.50,212.30
mmu-mir-15a-5p,263.61,0.00
mmu-mir-15b-3p,344.72,0.00
mmu-mir-15b-5p,408.93,0.00
mmu-mir-16-1-5p,9702.88,849.21
mmu-mir-16-2-5p,9723.15,828.99
mmu-mir-17-5p,385.28,0.00
mmu-mir-181a-1-3p,243.33,0.00
mmu-mir-181a-1-5p,1064.58,2567.84
mmu-mir-181a-2-5p,1064.58,2567.84
mmu-mir-181b-1-5p,527.22,340.36
mmu-mir-181b-2-5p,709.72,451.56
mmu-mir-181c-3p,243.33,323.51
mmu-mir-181c-5p,567.78,1010.96
mmu-mir-181d-5p,1297.77,663.86
mmu-mir-1839-5p,223.05,0.00
mmu-mir-185-5p,902.36,1738.85
mmu-mir-186-5p,6590.25,4791.95
mmu-mir-186-5p_+_1,223.05,0.00
mmu-mir-18a-3p,304.17,222.41
mmu-mir-191-5p,52417.84,42298.56
mmu-mir-191-5p_+_1,4400.26,4306.69
mmu-mir-192-5p,1500.55,727.89
mmu-mir-193b-3p,283.89,424.60
mmu-mir-19b-1-3p,517.08,0.00
mmu-mir-19b-2-3p,517.08,0.00
mmu-mir-21-5p,1784.44,222.41
mmu-mir-210-3p,608.33,990.74
mmu-mir-22-3p,2554.99,1577.10
mmu-mir-221-3p,243.33,262.85
mmu-mir-222-3p,304.17,0.00
mmu-mir-223-3p,1662.77,738.00
mmu-mir-23a-3p,273.75,0.00
mmu-mir-23b-3p,375.14,320.14
mmu-mir-24-1-3p,618.47,283.07
mmu-mir-24-2-3p,618.47,283.07
mmu-mir-25-3p,58379.48,21594.10
mmu-mir-25-3p_+_1,1095.00,0.00
mmu-mir-26a-1-5p,19730.20,866.06
mmu-mir-26a-2-5p,19730.20,866.06
mmu-mir-26b-5p,932.77,249.37
mmu-mir-27b-3p,1683.05,768.33
mmu-mir-29a-3p,527.22,0.00
mmu-mir-30a-3p,588.05,0.00
mmu-mir-30a-5p,5089.70,748.11
mmu-mir-30b-5p,547.50,222.41
mmu-mir-30c-1-5p,9206.07,3245.18
mmu-mir-30c-2-5p,9206.07,3245.18
mmu-mir-30d-5p,16546.60,4246.03
mmu-mir-30e-3p,2534.71,485.26
mmu-mir-30e-5p,1703.33,379.11
mmu-mir-3107-5p,240699.59,359190.66
mmu-mir-3107-5p_+_2,2159.57,3944.43
mmu-mir-3107-5p_-_1,0.00,242.63
mmu-mir-320-3p,1865.55,4428.00
mmu-mir-320-3p_+_1,0.00,343.73
mmu-mir-324-5p,527.22,0.00
mmu-mir-326-3p,243.33,265.74
mmu-mir-328-3p,1815.53,2848.21
mmu-mir-339-5p,1115.27,1314.25
mmu-mir-361-3p_+_1,385.28,0.00
mmu-mir-361-5p,243.33,0.00
mmu-mir-374-5p,223.05,0.00
mmu-mir-378-3p,2315.04,5816.39
mmu-mir-378-3p_+_1,315.99,429.66
mmu-mir-378-5p,425.83,0.00
mmu-mir-421-3p,689.44,0.00
mmu-mir-423-3p,3234.29,5307.54
mmu-mir-423-3p_-_1,588.05,889.64
mmu-mir-423-5p,2879.43,4104.50
mmu-mir-425-5p,4947.76,3417.04
mmu-mir-451,26219.06,2689.15
mmu-mir-484,446.11,626.80
mmu-mir-486-5p,243132.92,362405.51
mmu-mir-486-5p_+_2,2828.74,4470.13
mmu-mir-486-5p_-_1,0.00,222.41
mmu-mir-5109,233.19,1566.99
mmu-mir-5109_+_1,0.00,839.10
mmu-mir-5109_+_5,233.19,0.00
mmu-mir-5109_-_1,0.00,222.41
mmu-mir-652-3p,405.55,0.00
mmu-mir-744-5p,1571.52,1546.77
mmu-mir-92a-1-3p,90986.01,35545.35
mmu-mir-92a-1-3p_+_1,1348.47,1759.07
mmu-mir-92a-2-3p,3122.76,1213.15
mmu-mir-93-5p,2108.88,1213.15
mmu-mir-98-5p,267.67,0.00
